日期,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元)
2023-03-31,3.3766,3.231,3.231,,33.4381,32.6076,2.4566,0.6911,23.5916,,8.17,64.0761,8.3711,126.4298,56.1107,21.6054,42.0904,337.6558,10.0979,8.17,,8.3346,-0.2766,114.5119,,,19952573730.81,9.91,10.43,12455824184.77,13.0343,15.2627,15.1199,16.4122,501.6811,0.1794,214.3367,0.4199,,0.1989,452.4887,0.221,407.2398,0.2527,4.7617,4.2313,333.8932,-2735.6758,,80.908,,,23.5972,,,,12.4807,23.3352,,,19.092,160421137093.8,0.3062,0.0594,0.7276,0.3113,31.4835,,,,1986387524.78,,,,,,,,,,,,,,
2023-06-30,4.5838,4.389,4.389,4.364,30.8622,29.9835,2.9188,0.6911,20.9675,,11.8165,62.5026,11.7331,108.137,52.1148,23.223,39.099,694.1635,22.4924,17.8947,,10.6079,-0.0958,120.1518,0.23,,28442653448.27,14.64,14.19,16941269701.1,10.3924,12.2583,13.5645,15.5449,796.5015,0.226,273.1826,0.6589,8.5711,0.3001,599.8001,0.3345,538.1166,0.3849,4.4156,3.8873,303.7861,-1793.6732,,79.5592,,2268.5857,25.6926,,,36.5876,13.3878,25.4334,,3.507,20.4408,150573350683.26,0.249,0.0752,0.6368,0.3681,37.1861,,,,1983375865.13,,,,,248743.59,7414297.05,,14861878.6,11827624.5,,,2667760.88,5079863.28,12776313.52
2023-09-30,6.1402,5.882,5.882,,32.1104,31.4768,5.7679,0.6911,22.4608,,15.7006,61.4209,15.6536,102.212,50.665,24.1408,38.1122,614.0234,19.1223,15.7006,,10.9019,-0.1119,121.4442,0.0448,,38410439248.68,18.69,19.2,22741715598.72,12.1132,13.7132,13.6314,12.7103,709.3939,0.3806,282.6337,0.9553,,0.4107,657.4142,0.4596,587.4674,0.5183,5.0066,4.4253,365.0816,-1644.8541,,82.1062,,,21.7935,,,,13.8058,21.5691,,,17.8938,151803365286.04,0.358,0.1475,0.9394,0.8242,83.2798,,,,1983375865.13,,,,,,,,,,,,,,
2023-12-31,8.1205,7.783,7.783,7.759,34.0965,33.3775,10.7539,0.6911,23.0331,,19.0535,60.7445,19.8152,101.4064,50.4415,24.2064,37.8528,1051.31,30.8333,24.6672,,10.3787,-0.0796,120.6872,,,50583227736.56,23.32,25.06,30116468910.79,12.5775,12.6924,13.4253,8.3281,2126.0663,0.1693,297.9639,1.2082,15.7819,0.5235,687.6791,0.5849,615.4898,0.6688,4.5033,3.9713,353.2595,-1594.6943,,80.0018,,2537.9022,24.9972,,,35.9603,13.7898,24.6946,,3.1523,19.9982,165432981684.75,0.5013,0.2523,1.3243,1.2617,127.7187,,,,2020366240.69,,,,31487.08,278631.8,6233545.71,,6079402.92,11610807.73,,,4460593.08,1394469.0,12353276.08
2024-03-31,3.7705,3.618,3.618,,37.867,36.9958,0.133,0.6911,26.6515,,8.1033,64.4803,8.4588,126.8136,55.8417,21.5736,42.0162,377.0466,9.9571,8.1033,,8.5237,0.0204,115.4462,,,22460351948.51,9.78,10.28,14038692986.63,11.8631,11.6659,13.2451,12.585,332.9889,0.2703,201.6581,0.4463,,0.2013,447.0939,0.2263,397.7022,0.2494,4.9522,4.4501,357.0861,-2601.765,,81.3824,,,22.8767,,,,13.5914,22.0679,,,18.6176,180610175713.37,0.0148,0.0029,0.0353,0.0154,1.5914,,,,2020366240.69,,,,,,,,,,,,,,
2024-06-30,5.1078,4.91,4.91,4.879,34.5343,33.617,3.4594,0.6911,23.2726,,10.6603,63.2049,11.2837,108.4224,52.0943,22.6389,39.1457,753.3161,21.8135,15.7222,,11.2621,0.1031,121.3033,0.9143,,32012021727.93,14.6,13.7,18938813683.76,11.2987,11.4317,11.8986,23.5175,799.0781,0.2253,268.6968,0.6699,9.7589,0.2882,624.5663,0.324,555.5556,0.3802,3.2565,2.9249,253.365,-1783.8545,,72.0752,,2595.3551,38.7439,,,35.4268,15.3273,37.8982,,2.7771,27.9248,185984511884.61,0.2651,0.0722,0.6773,0.2585,26.4318,,,,2028290932.39,,,,918696.09,7721.68,5808416.56,,5848367.08,3251500.91,,,7338841.03,1250482.0,11901543.49
2024-09-30,6.6831,6.423,6.423,,35.8366,35.1303,7.6757,0.6911,24.7859,,15.108,62.7274,15.3891,103.1994,50.8158,22.9409,38.1961,668.3084,18.6488,15.108,,11.9275,-0.0185,123.542,,,42601708685.86,18.28,18.33,24832581937.49,8.6017,8.8409,11.6044,13.1095,715.6358,0.3773,302.6227,0.8922,,0.4029,670.1415,0.4561,591.9754,0.5004,4.7689,4.2137,396.0773,-1526.7148,,81.0136,,,23.4361,,,,15.1432,22.7081,,,18.9864,171704058921.09,0.4387,0.1735,1.1485,0.9139,94.3215,,,,2028290932.39,,,,,,,,,,,,,,
2024-12-31,8.5515,8.2062,8.2062,8.1775,35.1387,34.3376,8.7437,0.6911,22.5826,,17.6324,62.4309,18.7701,98.3233,49.5654,22.9452,37.2228,1100.632,31.3225,22.6941,,12.7996,0.0871,126.0613,0.3012,,55672841268.68,23.9,23.35,31741959276.27,7.0889,5.3066,3.0566,13.7936,2229.546,0.1615,313.3705,1.1488,14.2626,0.5043,713.8608,0.5699,631.6898,0.6636,3.249,2.8916,249.672,-1458.5969,,72.4532,,1871.0153,38.0201,,,43.3441,16.4734,37.4109,,3.8724,27.5468,188252218704.17,0.3806,0.1803,1.0225,0.6545,66.514,,,,2081612703.43,,,,1663220.42,,5418687.44,,4613356.19,1888499.98,,,16294674.76,1780369.83,11713605.68
2025-03-31,3.9592,3.828,3.828,,39.0979,38.166,4.0831,0.6911,26.411,,7.7624,63.1102,7.9579,124.4221,55.3485,22.2576,41.6021,395.9175,10.1263,7.7624,,7.5621,-0.0732,114.1067,0.3573,,23313132666.8,10.03,10.56,14861410760.6,6.0502,5.0049,3.2506,9.6174,325.8062,0.2762,193.0088,0.4663,,0.1913,470.4652,0.2165,415.7044,0.2564,3.857,3.4825,304.5588,-3001.8555,,76.6555,,,30.4537,,,,14.8371,29.9758,,,23.3445,197980160530.01,0.429,0.0801,1.0313,0.3429,34.8385,,,,2121612703.43,,,,,,,,,,,,,,
2025-06-30,5.1873,5.0216,5.0216,5.0184,37.1318,36.1903,8.0216,0.6911,24.4352,,10.4103,61.9488,10.5511,103.0518,50.683,23.1722,38.1557,770.189,20.742,15.4567,,11.081,0.091,122.3519,0.6109,,32690976906.14,13.88,13.63,19479643890.31,4.1916,1.5566,7.5214,3.9954,1037.8019,0.1734,264.8227,0.6797,7.0079,0.2765,650.9946,0.3138,573.6138,0.3762,3.5028,3.1382,304.7007,-2018.4055,,74.519,,1854.8441,34.194,,,44.3243,15.896,33.7729,,4.0175,25.481,193415382562.71,0.59,0.161,1.5464,0.6318,63.9657,,,,2173006025.05,,,,5232661.84,828437.57,5418687.44,,17739809.69,214269.99,,,5735061.88,5346941.59,11853791.14
