关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
603777,主动调整蓄力！603777，营收增长，净利承压,【导读】来伊份2025年业绩出炉 中国基金报记者郑俊婷 4月28日晚间，老牌零食品牌商来伊份（证券代码：603777）公布2025年年报。 受行业存量竞争及公司主动调整影响，来伊份2025年净利润大幅下滑。,2026-04-29 10:57:00,中国基金报,http://finance.eastmoney.com/a/202604293724072350.html
603777,来伊份603777.SH)2025年净利润为-1.61亿元，同比亏损放大,2026年4月29日，来伊份603777.SH)发布2025年年报。 公司营业总收入为38.19亿元。归母净利润为-1.61亿元，在已披露的同业公司中排名第21，较去年同报告期归母净利润减少8572.11万元。,2026-04-29 12:03:28,界面新闻,http://finance.eastmoney.com/a/202604293724124447.html
603777,食品饮料行业资金流出榜：五粮液等8股净流出资金超3000万元,金种子酒 4.84 5.32 2758.65 600059 古越龙山 1.85 2.28 2751.27 601579 会稽山 3.75 4.09 2407.44 600600 青岛啤酒 0.00 0.99 2318.80 603345 安井食品 0.53 1.96 2240.21 603777,2026-05-14 17:33:00,证券时报网,http://finance.eastmoney.com/a/202605143737535512.html
603777,白酒概念上涨0.69%，16股主力资金净流入超千万元,002183 怡亚通 -1.44 14.11 3950.45 1.41 600199 金种子酒 4.84 5.32 2758.65 9.54 600059 古越龙山 1.85 2.28 2751.27 15.07 601579 会稽山 3.75 4.09 2407.44 6.53 603777,2026-05-14 17:32:00,证券时报网,http://finance.eastmoney.com/a/202605143737535314.html
603777,A股三大股指收跌，海运、券商板块跌幅靠前,食品饮料重返跌势，黑芝麻（000716）、交大昂立（600530）、来伊份（603777）、会稽山（601579）、酒鬼酒（000799）等跌超4%。兴业证券认为，食品饮料行业底部基本确立，期待拐点兑现。,2026-05-15 15:10:00,澎湃新闻,http://finance.eastmoney.com/a/202605153738870433.html
603777,来伊份一季度亏损1404万元，同比降212.9%,4月28日，来伊份603777公布2026年一季报，公司营业收入为10.4亿元，同比下降1.1%；归母净利润亏损1404万元，同比下降212.9%；扣非归母净利润亏损2202万元，同比下降512.0%；经营现金流净额为-1510万元，同比下降349.1%；EPS(全面摊薄)为-,2026-04-29 11:23:00,财中社,http://finance.eastmoney.com/a/202604293724095234.html
603777,来伊份2025年亏损扩大至1.61亿元,4月28日，来伊份603777公布2025年年报，公司营业收入为38.2亿元，同比上升13.3%；归母净利润自去年同期亏损7527万元变为亏损1.61亿元，亏损额进一步扩大；扣非归母净利润自去年同期亏损9003万元变为亏损2.09亿元，亏损额进一步扩大；经营现金流净额为1.85,2026-04-29 11:39:00,财中社,http://finance.eastmoney.com/a/202604293724113265.html
603777,涨停股复盘：29股封单超亿元,4140.80 有色金属 000863 三湘印象 5.34 4.21 758.69 4051.40 房地产 603248 锡华科技 28.17 18.51 135.94 3829.43 电力设备 603156 养元饮品 41.31 1.16 92.28 3812.23 食品饮料 603777,2026-05-06 16:11:00,证券时报网,http://finance.eastmoney.com/a/202605063728623650.html
603777,来伊份：2026年一季度实现营业总收入10.36亿元,中证智能财讯来伊份（603777）4月29日披露2026年第一季度报告。,2026-05-01 13:02:20,中国证券报·中证网,http://finance.eastmoney.com/a/202605013727224075.html
603777,亏损扩大、毛利率连降，来伊份上市后最大危机来袭,4月28日，被誉为“主板零食第一股”的来伊份（603777.SH）发布了2025年年度报告及2026年第一季度报告。 年报显示，2025年全年营收同比增长13.3%，归母净利润却由盈转亏且亏损额扩大至 1.61 亿元，创下上市以来最大年度亏损纪录。,2026-05-06 17:32:21,理财周刊-财事汇,http://finance.eastmoney.com/a/202605063728724324.html
